Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20000131,0.4343,-4.15071,-4.09407,-2.61501,-0.93064,-0.33529,-0.35237,-0.43146,-0.78101,-6.33645,0.33968
20000229,0.4295,2.23967,-0.26747,6.11212,23.26645,0.82775,0.92724,0.19381,2.63335,2.71088,-1.30509
20000331,0.4377,5.93958,9.112,0.46884,-10.5116,1.14142,0.85203,-2.10223,-3.55476,3.8957,3.24183
20000428,0.4595,-5.21011,-3.33361,0.59191,-10.09654,-0.04015,-0.87839,0.16032,-1.44397,-5.2443,6.58641
20000531,0.4782,-3.49251,-2.58635,-1.52602,-8.75643,0.26705,-0.37239,-1.02544,0.41937,-2.42273,1.04669
20000630,0.3744,4.40935,2.54948,2.92199,12.91806,1.5883,2.51154,2.03641,5.87567,3.9342,2.65317
20000731,0.4772,-2.03874,-1.66146,3.33187,-8.57006,0.66397,1.21282,0.76292,-2.91834,-4.17292,8.49757
20000831,0.5002,7.25972,7.40174,4.47076,10.51873,1.12119,1.25126,0.684,0.24172,0.88846,-3.96586
20000929,0.5093,-4.66625,-4.64155,-0.56692,-4.96793,0.87319,0.54798,-0.87371,-1.37499,-4.84938,3.21574
20001031,0.5217,-2.12494,-1.20457,-0.355,-8.11744,0.68607,0.0246,-3.2031,-2.63226,-2.34185,-4.2875
20001130,0.4966,-9.9482,-9.14494,-2.03571,-18.15664,1.4669,1.18714,-3.96032,2.14511,-3.72864,1.19054
20001229,0.4909,1.78299,1.20879,10.74487,6.1191,1.76471,1.86406,1.93172,0.5309,3.57773,6.92331
20010131,0.5243,3.83043,3.2905,2.76026,8.09404,1.32978,2.86239,7.49149,-1.6025,-0.04714,1.45559
20010228,0.3653,-9.48482,-9.32782,-0.13806,-13.7076,0.91922,0.8449,1.33127,-0.18507,-7.48951,-1.2956
20010330,0.432,-6.73191,-6.64169,-1.60389,-9.09183,0.72438,0.61399,-2.35415,-4.30683,-6.62105,0.91071
20010430,0.3864,8.22957,8.03487,4.62863,12.24265,-0.31597,-0.3271,-1.24546,3.04196,7.01367,2.62975
20010531,0.3183,0.99569,0.676,2.57147,2.31629,0.4142,0.88749,1.80061,1.0342,-3.45001,2.53338
20010629,0.2778,-1.67578,-2.25895,4.02348,2.72704,0.31857,0.50018,-2.80506,0.58226,-4.05226,5.84624
20010731,0.2999,-1.6509,-1.36545,-2.24249,-8.53103,1.86674,2.71032,1.47185,-2.66977,-1.81152,-1.72977
